Key,Russian,English
InteractionObject_Openable_Sliding_VentCover,Вентиляционная решетка,Vent cover
InteractionObject_Phonograph,Фонограф,Phonograph
InteractionObject_Pickable_NonThrowable_Accordion,Аккордеон,Accordion
InteractionObject_Pickable_NonThrowable_SafeDoor,Дверь сейфа,Safe Door
InteractionObject_Pickable_NonThrowable_WoodenCrate,Деревянный ящик,Wooden crate
InteractionObject_Pickable_Throwable_Bottle,Бутылка,Bottle
InteractionObject_Pickable_Throwable_Brick,Кирпич,Brick
InteractionObject_Pickable_Throwable_Bust,Бюст,Bust
InteractionObject_Pickable_Weapon_MaximGun,Пулемет Максима,Maxim gun
InteractionObject_Safe,Сейф,Safe
InteractionObject_Safe_Section,Секция,Section
InteractionObject_TV_NextChannel,Следующий канал,Next channel
InteractionObject_TV_PowerOff,Выключить,Turn off
InteractionObject_TV_PowerOn,Включить,Turn on
InteractionObject_TV_PreviousChannel,Предыдущий канал,Previous channel
InteractionObject_VendingMachine_Ammo_Cylinder,Сменить тип патронов для покупки,Change ammo type for purchase
InteractionObject_VendingMachine_BuyFor,за,for
Lock_Electronic,Электронный замок,Electronic lock
Lock_Mechanical_Easy,Легкий механический замок,Easy mechanical lock
Lock_Mechanical_Hard,Сложный механический замок,Hard mechanical lock
Lock_Mechanical_Medium,Средний механический замок,Medium mechanical lock
Menu_Interaction_Lock_Electronic,Перестать взламывать замок,Stop picking the lock
Menu_Interaction_Lock_Mechanical,Перестать взламывать замок,Stop picking the lock
Mission_0_NothingEverHappensInThisCountry,Ничего никогда не происходит в этой стране,Nothing ever happens in this country
Mission_Test,Технический раздел игры,Technical game section
Money_Dollar,Фиатных долларов,Fiat dollars
Money_Ruble,Рублей,Rubles
NPC_Aggressive_Policeman,Милиционер,Policeman
NPC_Aggressive_PoliceOffcier,Околоточный Милицмейстер,Police Officer
NPC_Indifferent_Concierge,Консьерж,Concierge
NPC_Indifferent_Drunk,Пьяница,Drunk
NPC_MainCharacter_AntonZashkafny,Антон Зашкафный,Anton Zashkafny
NPC_MainCharacter_GingerDevil,Рыжий Демон,Ginger Demon
NPC_MainCharacter_IgnatyMaslachillo,Игнатий Маслачилло,IgnatyMaslachillo
NPC_MainCharacter_IvanPetrovich,Иван Петрович,Ivan Petrovich
NPC_MainCharacter_PowerlifterMazon,Силач Мазон,Powerlifter Mazon
NPC_MainCharacter_SemyonSomonov,Семен Сомонов,Semyon Somonov
NPC_MainCharacter_VasylySavelovsky,Василий Савеловский,Vasyly Savelovsky
NPC_Neutral_Bandit,Бандит,Bandit
NPC_Neutral_BanditBoss,Главарь бандитов,Bandit boss
NPC_Neutral_PeasantFemale,Креятьянка,Peasant
NPC_Neutral_PeasantMale,Крестьянин,Peasant
NPC_Neutral_Sweeper,Дворник,Sweeper
NPC_Peaceful_Butler,Дворецкий,Butler
NPC_Peaceful_CitizenFemale,Горожанка,Citizen
NPC_Peaceful_CitizenMale,Горожанин,Citizen
NPC_Peaceful_Maid,Горничная,Maid
NPC_Peaceful_Nobleman,Дворянин,Nobleman
NPC_Peaceful_Noblewoman,Дворянка,Noblewoman
NPC_Peaceful_Peasant,Крестьянин,Peasant
NPC_Peaceful_Servant,Слуга,Servant
Scene_0_Test,Тестовая сцена,Test scene
Scene_1_Church,Мемориальная Церковь Александра II,Alexandr II Memorial Church
Scene_1_InnerYard,Внутренний двор,Inner yard
Scene_1_RevenueHouse,Доходный дом г-на Ростовщикова,Mr Rostovshikov's revenue house
Scene_1_Street,Станция «Ресентиментарная»,Resentymentarnaya station
UI_DialogueAnswer_Sweeper_Branch1_No,Сам убирай свои листья!,You know what? Do it youtself
UI_DialogueAnswer_Sweeper_Branch1_Yes,Хорошо сейчас все уберу...,Ok I'll help you with that...
UI_DialogueAnswer_Sweeper_Branch2_No,Ну уж нет! к черту тебя и твои листься,No way! Go to hell with you leaves!
UI_DialogueAnswer_Sweeper_Branch2_Yes,Ладно так уж и ыть помогу тебе,On the other hand ok I'll help you
UI_HUD_Interaction_HintMessage_Action_CallElevator,Вызывать лифт,Call elevator
UI_HUD_Interaction_HintMessage_Action_ChangeScene,Перейти на сцену,Go to scene
UI_HUD_Interaction_HintMessage_Action_Close,Закрыть,Close
UI_HUD_Interaction_HintMessage_Action_Drink,Выпить,Drink
UI_HUD_Interaction_HintMessage_Action_Drop,Отпустить,Drop
UI_HUD_Interaction_HintMessage_Action_Eat,Съесть,Eat
UI_HUD_Interaction_HintMessage_Action_GlanceAt,Взглянуть на,Glance at
UI_HUD_Interaction_HintMessage_Action_Hack,Взломать,Hack
UI_HUD_Interaction_HintMessage_Action_Interact,Взаимодействовать с,Interact with
UI_HUD_Interaction_HintMessage_Action_Lockpick,Вскрыть,Lockpick
UI_HUD_Interaction_HintMessage_Action_Loot,Взять,Take
UI_HUD_Interaction_HintMessage_Action_Open,Открыть,Open
UI_HUD_Interaction_HintMessage_Action_PickUp,Поднять,Pick up
UI_HUD_Interaction_HintMessage_Action_Press,Нажать,Press
UI_HUD_Interaction_HintMessage_Action_Purchase,Купить,Purchase
UI_HUD_Interaction_HintMessage_Action_Read,Читать,Read
UI_HUD_Interaction_HintMessage_Action_Rotate,Повернуть,Rotate
UI_HUD_Interaction_HintMessage_Action_SendElevatorDown,Отправить лифт вниз,Send elevator down
UI_HUD_Interaction_HintMessage_Action_SendElevatorUp,Отправить лифт вверх,Send elevator up
UI_HUD_Interaction_HintMessage_Action_Strangle,Задушить,Strangle
UI_HUD_Interaction_HintMessage_Action_TalkTo,Поговорить с,Talk to
UI_HUD_Interaction_HintMessage_Action_Throw,Кинуть,Throw
UI_HUD_Interaction_HintMessage_Action_TurnOff,Выключить,Turn off
UI_HUD_Interaction_HintMessage_Action_TurnOn,Включить,Turn on
UI_HUD_Interaction_HintMessage_Action_Unlock,Отпереть,Unlock
UI_HUD_Interaction_HintMessage_Fail_CannotPickUpMore,Нельзя взять больше,Max
UI_HUD_Interaction_HintMessage_Fail_CantTalkToPlayerRightNow,С вами сейчас не может разговаривать,Right now you can't talk to
UI_HUD_Interaction_HintMessage_Fail_Locked,Заперто,Is locked
UI_HUD_Interaction_HintMessage_Fail_LockedByElectricalPanel,Заблокировано электрической панелью,Blocked by electrical panel
UI_HUD_Interaction_HintMessage_Fail_LockedByKey,Заперто на ключ,Key locked
UI_HUD_Interaction_HintMessage_Fail_LockedForever,Не поддается,Won't budge
UI_HUD_Interaction_HintMessage_Fail_NotEnoughMoney,Недостаточно денег,Not enough money
UI_HUD_Interaction_HintMessage_Fail_OutOfService,Вышло из строя,Out of service
UI_HUD_Interaction_HintMessage_Fail_PickUpBoughtGoodsFirst,Подберите уже купленные товары,Puck up already purchased goods
UI_HUD_Interaction_HintMessage_Fail_PlayerWasElectroShocked,Вас ударило током,You have been Electro Shocked
UI_HUD_Interaction_HintMessage_Fail_Wait,Подождите,Please wait
UI_HUD_Interaction_HintMessage_Fail_WrongCombination,Неправильная комбинация,Wrong combination
UI_HUD_Interaction_HintMessage_Main,Нажмите,Press
UI_HUD_Interaction_HintMessage_PickableWeapon_MaximGun_AttackLeft,Опустить оружие,Lower the gun
UI_HUD_Interaction_HintMessage_PickableWeapon_MaximGun_AttackRight,Стрелять,Shoot
UI_LoadingScreen_LoadingIsReady,Нажмите любую клавишу,Press any key
UI_Menu_Bootstrap_SavingProcess,""Когда игра сохраняет свои данные то появляется значок шестеренки.\nПожалуйста не выключайте компьютер в это время."",""Whenever the game is saving its data the following gear icon is displayed.\nPlease do not turn the computer off during its display."""
UI_Menu_Bootstrap_SignTermsnAndConditions_ButtonRefuse,Отказаться,Refuse
UI_Menu_Bootstrap_SignTermsnAndConditions_ButtonSign,Принять,Sign
UI_Menu_Bootstrap_SignTermsnAndConditions_TextHeaderTermsAndConditions,Условия Пользования,Terms and Conditions
UI_Menu_Bootstrap_SignTermsnAndConditions_ToggleAcceptWithTerms,Я соглашаюсь с Условиями Пользования,I agree with Terms and Conditions
UI_Menu_InteractionMenu_LockElectronic_ButtonCloseMenuLockElectronic,Перестать взламывать,Stop hacking
UI_Menu_InteractionMenu_LockMechanical_ButtonCloseMenuLockMechanical,Перестать вскрывать,Stop lockpicking
UI_Menu_InteractionMenu_Note_ButtonCloseNoteMenu_NoText,Перестать глядеть,Stop glancing at
UI_Menu_InteractionMenu_Note_ButtonCloseNoteMenu_Text,Перестать читать,Stop reading
UI_Menu_MainMenu_ChooseMission_TextButtonClose,Закрыть выбор эпизода,close choosing episode
UI_Menu_MainMenu_ChooseMission_TextChooseDemoEpisode,Выберите эпизод демо версии,Choose episode of the demo version
UI_Menu_MainMenu_ChooseMission_TextPrologue,Пролог,Prologue
UI_Menu_MainMenu_TextExitGame,Выйти из игры,Exit the game
UI_Menu_MainMenu_TextLoadGamePart1,Загрузить,Load
UI_Menu_MainMenu_TextLoadGamePart2,игру,game
UI_Menu_MainMenu_TextNewGame,Новая игра,New game
UI_Menu_MainMenu_TextReadNews,Читать новости об игре,Read news about game
UI_Menu_MainMenu_TextSettings,Настройки,Settings
UI_Menu_MainMenu_TextTestScene,Тестовый уровень,Test level
UI_Menu_PauseConfirmActionMenu_ButtonCancelAction,Отменить,Cancel
UI_Menu_PauseConfirmActionMenu_ButtonConfirmAction,Подтвердить,Confirm
UI_Menu_PauseConfirmActionMenu_TextConfirmCreateNewGameFile,Сохранить новую игру,Save new game
UI_Menu_PauseConfirmActionMenu_TextConfirmDeleteGameFile,Удалить игру в слоте,Delete game in slot
UI_Menu_PauseConfirmActionMenu_TextConfirmExitToMainMenu,""Выйти в главное меню?\n(Данные не сохранятся)"",Exit to main menu?\n(Unsaved progress will be lost)"
UI_Menu_PauseConfirmActionMenu_TextConfirmLoadGameFile,Зарузить игру в слоте,Load game in slot
UI_Menu_PauseConfirmActionMenu_TextConfirmRewriteGameFile,Перезаписать игру в слоте,Rewrite game in slot
UI_Menu_PauseConfirmActionMenu_TextLoadEpisode,Загрузить эпизод,Load episode
UI_Menu_PauseConfirmActionMenu_TextSettingsAudio,Аудионастройки,Audio settings
UI_Menu_PauseConfirmActionMenu_TextSettingsControls,Настройки управления,Controls settings
UI_Menu_PauseConfirmActionMenu_TextSettingsGeneral,Общие настройки,General settings
UI_Menu_PauseConfirmActionMenu_TextSettingsGraphics,Настройки графики,Graphics settings
UI_Menu_PauseConfirmActionMenu_TextSettingsReset,Сбросить,Reset
UI_Menu_PauseConfirmActionMenu_TextSettingsSave,Сохранить,Save
UI_Menu_PauseMenu_ButtonAppearance_NO-APPEARANCE-MENU-IN-DEMO-VERSION,Поменять внешность (недоступно в демо),Change appearance (unavailable in demo)
UI_Menu_PauseMenu_ButtonExitToMainMenu,Выйти в главное меню,Exit to Main Menu
UI_Menu_PauseMenu_ButtonLoad,Загрузить игру,Load game
UI_Menu_PauseMenu_ButtonResume,Продолжить,Resume
UI_Menu_PauseMenu_ButtonSave,Сохранить игру,Save game
UI_Menu_PauseMenu_ButtonSave_CANNOT-SAVE-GAME-RIGHT-NOW,""Сохранить игру\n(сейчас нельзя)"",""Save game\n(can't save right now)"""
UI_Menu_PauseMenu_ButtonSettings,Настройки игры,Game settings
UI_Menu_PauseMenu_ButtonTutorial,Туториалы,Tutorials
UI_Menu_PauseMenu_MissionGoal_Current,Текущая цель:,Current goal:
UI_Menu_PauseMenu_MissionGoal_New,Новая цель:,New goal:
UI_Menu_PauseMenu_PlayerMoney,Денег у игрока:,Player's money:
UI_Menu_PauseMenu_TextDeathMessage,Иван Петрович трагически погиб!,Ivan Petrovich has tragically died!
UI_Menu_PauseSubMenu_Load_ButtonClosePauseSubMenuLoad,Закрыть меню загрузки,Close load menu
UI_Menu_PauseSubMenu_Load_TextPauseSubMenuLoad,Меню загрузки,Load menu
UI_Menu_PauseSubMenu_Save_ButtonClosePauseSubMenuSave,Закрыть меню сохранения,Close save menu
UI_Menu_PauseSubMenu_Save_ButtonCreateNewGameFile,Сохранить новую игру,Save game
UI_Menu_PauseSubMenu_Save_ButtonDeleteGameFile,Удалить игру,Delete game
UI_Menu_PauseSubMenu_Save_TextPauseSubMenuSave,Меню сохранения,Save menu
UI_Menu_PauseSubMenu_Settings_ButtonClosePauseSubMenuSettings,Закрыть меню настроек,Close settings menu
UI_Menu_PauseSubMenu_Settings_ButtonResetSettings,Сбросить настройки,Reset settings
UI_Menu_PauseSubMenu_Settings_ButtonSaveSettings,Сохранить настройки,Save settings
UI_Menu_PauseSubMenu_Settings_ButtonSubSettingsSectionAudio,Аудионастройки,Audio settings
UI_Menu_PauseSubMenu_Settings_ButtonSubSettingsSectionControls,Настройки управления,Controls settings
UI_Menu_PauseSubMenu_Settings_ButtonSubSettingsSectionGeneral,Общие настройки,General settings
UI_Menu_PauseSubMenu_Settings_ButtonSubSettingsSectionGraphics,Настройки графики,Graphics settings
UI_Menu_PauseSubMenu_Settings_SectionAudio_TextChangeLanguage,Сменить язык,Change language
UI_Menu_PauseSubMenu_Settings_SectionAudio_TextSliderVolumeEffects,Громкость эффектов,Effects volume
UI_Menu_PauseSubMenu_Settings_SectionAudio_TextSliderVolumeEnvironment,Громкость окружения,Environment volume
UI_Menu_PauseSubMenu_Settings_SectionAudio_TextSliderVolumeGeneral,Общая громкость,General volume
UI_Menu_PauseSubMenu_Settings_SectionAudio_TextSliderVolumeMusicAmbience,Громкость фоновой музыки,Ambience music volume
UI_Menu_PauseSubMenu_Settings_SectionAudio_TextSliderVolumeMusicIngame,Громкость внутриигровой музки,Ingame music volume
UI_Menu_PauseSubMenu_Settings_SectionAudio_TextSliderVolumeVoices,Громкость голосов,Voices volume
UI_Menu_PauseSubMenu_Settings_SectionControls_TextControlsChangeCameraShoulder,Поменять плечо камеры,Change camera shoulder
UI_Menu_PauseSubMenu_Settings_SectionControls_TextControlsChangeCameraView,Поменять вид камеры,Change camera view
UI_Menu_PauseSubMenu_Settings_SectionControls_TextControlsCrouch,Присесть,Crouch
UI_Menu_PauseSubMenu_Settings_SectionControls_TextControlsInteract,Взимодейстовать,Interact
UI_Menu_PauseSubMenu_Settings_SectionControls_TextControlsJump,Прыгать,Jump
UI_Menu_PauseSubMenu_Settings_SectionControls_TextControlsLegKick,Пинок ногой,Leg kick
UI_Menu_PauseSubMenu_Settings_SectionControls_TextControlsMoveBackward,Идти назад,Move backward
UI_Menu_PauseSubMenu_Settings_SectionControls_TextControlsMoveForward,Идти вперед,Move forward
UI_Menu_PauseSubMenu_Settings_SectionControls_TextControlsMoveLeft,Идти влево,Move left
UI_Menu_PauseSubMenu_Settings_SectionControls_TextControlsMoveRight,Идти вправо,Move right
UI_Menu_PauseSubMenu_Settings_SectionControls_TextControlsRun,Бежать,Run
UI_Menu_PauseSubMenu_Settings_SectionControls_TextControlsWeaponAttackLeftHand,Атака оружием в левой руке,Left hand weapon attack
UI_Menu_PauseSubMenu_Settings_SectionControls_TextControlsWeaponAttackRightHand,Атака оружием в правой руке,Right hand weapon attack
UI_Menu_PauseSubMenu_Settings_SectionControls_TextControlsWeaponReload,Перезарядить оружие,Reload weapon
UI_Menu_PauseSubMenu_Settings_SectionControls_TextControlsWeaponWheelLeftHand,Колесо Оружия для леовй руки,Left hand Weapon Wheel
UI_Menu_PauseSubMenu_Settings_SectionControls_TextControlsWeaponWheelRightHand,Колесо Оружия для правой руки,Right hand Weapon Wheel
UI_Menu_PauseSubMenu_Settings_SectionControls_TextSliderMouseSensitivityX,Горизонтальная чувствительность мыши,Mouse sensitivity X
UI_Menu_PauseSubMenu_Settings_SectionControls_TextSliderMouseSensitivityY,Вертикальная чувствительность мыши,Mouse sensitivity Y
UI_Menu_PauseSubMenu_Settings_SectionGeneral_ButtonDifficultyNormal,Обычная,Normal
UI_Menu_PauseSubMenu_Settings_SectionGeneral_DropdownHUDTypeDialoguesOnly,Только диалоги,Dialogues only
UI_Menu_PauseSubMenu_Settings_SectionGeneral_DropdownHUDTypeDialoguesTurnOff,Скрыть диалоги,Hide dialogues
UI_Menu_PauseSubMenu_Settings_SectionGeneral_DropdownHUDTypeFull,Полностью,Everything
UI_Menu_PauseSubMenu_Settings_SectionGeneral_DropdownHUDTypeTurnedOff,Скрыть всё,Hide everything
UI_Menu_PauseSubMenu_Settings_SectionGeneral_DropdownLimitFPS144,144 кадра/сек,144 frames/sec
UI_Menu_PauseSubMenu_Settings_SectionGeneral_DropdownLimitFPS30,30 кадров/сек,30 frames/sec
UI_Menu_PauseSubMenu_Settings_SectionGeneral_DropdownLimitFPS60,60 кадров/сек,60 frames/sec
UI_Menu_PauseSubMenu_Settings_SectionGeneral_DropdownLimitFPS90,90 кадров/сек,90 frames/sec
UI_Menu_PauseSubMenu_Settings_SectionGeneral_DropdownLimitFPSunlimited,Без ограничений,Unlimited
UI_Menu_PauseSubMenu_Settings_SectionGeneral_DropdownWindowTypeBorderlessWindowed,Оконный без рамки,Borderless windowed
UI_Menu_PauseSubMenu_Settings_SectionGeneral_DropdownWindowTypeFullscreen,Полноэкранный,Fullscreen
UI_Menu_PauseSubMenu_Settings_SectionGeneral_DropdownWindowTypeWindowed,Оконный,Windowed
UI_Menu_PauseSubMenu_Settings_SectionGeneral_GameDifficulty_ButtonClose,Закрыть меню выбора сложности,Close game difficulty menu
UI_Menu_PauseSubMenu_Settings_SectionGeneral_GameDifficulty1,Легкая,Easy
UI_Menu_PauseSubMenu_Settings_SectionGeneral_GameDifficulty3,Сложная,Hard
UI_Menu_PauseSubMenu_Settings_SectionGeneral_GameDifficulty4,Невозможная,Impossible
UI_Menu_PauseSubMenu_Settings_SectionGeneral_GameDifficulty2,Обычная,Normal
UI_Menu_PauseSubMenu_Settings_SectionGeneral_GameDifficulty_THIS-GAME-DIFFICULTY-IS-NOT-AVAILABLE-IN-DEMO,Сложность не доступна в демо версии,Difficulty not availble in demo version
UI_Menu_PauseSubMenu_Settings_SectionGeneral_TextButtonShowIngameHints,Выбрать сложность игры,Choose game difficulty
UI_Menu_PauseSubMenu_Settings_SectionGeneral_TextDropdownFPSlimit,Ограничение кадров в секунду,Frames per second limit
UI_Menu_PauseSubMenu_Settings_SectionGeneral_TextDropdownHUDType,Отображение игрового интерфейса (HUD),Heads up display (HUD) type
UI_Menu_PauseSubMenu_Settings_SectionGeneral_TextDropdownScreenResolution,Разрешение экрана,Screen resolution
UI_Menu_PauseSubMenu_Settings_SectionGeneral_TextDropdownWeaponWheelType,Тип отображения колеса выбора оружия,Weapon wheel display type
UI_Menu_PauseSubMenu_Settings_SectionGeneral_TextDropdownWindowType,Тип окна,Window type
UI_Menu_PauseSubMenu_Settings_SectionGeneral_TextSliderCameraFOV,Угол обзора камеры,Camera field of view
UI_Menu_PauseSubMenu_Settings_SectionGeneral_TextSliderScreenBrightness,Яркость экрана,Screen brightness
UI_Menu_PauseSubMenu_Settings_SectionGeneral_TextToggleShowBlood,Показывать кровь,Show blood
UI_Menu_PauseSubMenu_Settings_SectionGeneral_TextToggleShowIngameHints,Показывать внутриигровые подсказки,Show ingame hints
UI_Menu_PauseSubMenu_Settings_SectionGraphics_NO-GRAPHICS-SETTINGS-IN-DEMO-VERSION,В демо версии игры нет настроек графики,Game demo version does not feature graphics settings
UI_Menu_PauseSubMenu_Tutorial_ButtonClosePauseSubMenuTutorial,Закрыть меню туториала,Close tutorial menu
UI_Menu_WeaponWheelMenu_CannotChangeWeapon,Сейчас нельзя сменить оружие,cannot change weapon at the moment
UI_Menu_WeaponWheelMenu_HandLeft,Левая рука,Left hand
UI_Menu_WeaponWheelMenu_HandRight,Правая рука,Right hand
Weapon_Eugenic_GenieBreath,Евгеник Дыхание Джина,Eugenic Genie Breath
Weapon_Eugenic_TeslaShock,Евгеник Искра Теслы,Eugenic Tesla Shock
Weapon_Melee_Baton,Милицейская дубинка,Police baton
Weapon_Melee_CircularSaw,Пожарная циркулярная пила,Firefighter saw
Weapon_Ranged_AutoPistol,Автопистоль Бергманн-Байард,Bergmann-Bayard autopistole
Weapon_Ranged_Revolver,Револьвер Гармоника,Harmonica Revolver
Weapon_Ranged_Shotgun,Дробовик обрез,Sawed off shotgun
Weapon_Ranged_Tranquilizer,Милицейский транквилизатор,Police tranquilizer
Weapon_Special_Crossbow,Абордажный арбалет,Plunging crossbow
Weapon_Special_Monocular,Просвечивающий монокуляр,Seethrough monocular
